os,channel,version,timestamp
mac,beta,83.0.4103.61,2020-05-18 16:47:01.372197
win,canary_asan,85.0.4148.3,2020-05-18 08:32:02.898148
win64,canary_asan,85.0.4148.3,2020-05-18 08:32:02.176100
win,canary_asan,85.0.4148.2,2020-05-17 08:34:01.886904
win64,canary_asan,85.0.4148.2,2020-05-17 08:34:01.173788
android,canary,85.0.4148.0,2020-05-16 08:50:02.376538
win,canary_asan,85.0.4148.1,2020-05-16 08:35:02.450326
win64,canary_asan,85.0.4148.1,2020-05-16 08:35:01.751177
win,canary,85.0.4148.0,2020-05-16 07:35:01.700795
win64,canary,85.0.4148.0,2020-05-16 06:50:01.366207
android,canary,84.0.4147.6,2020-05-16 06:06:02.750856
mac,canary,85.0.4148.0,2020-05-16 05:07:00.768504
win,canary,84.0.4147.6,2020-05-16 02:22:03.286737
win64,canary,84.0.4147.6,2020-05-16 02:22:02.251093
mac,canary,84.0.4147.6,2020-05-16 02:22:01.576662
ios,dev,84.0.4147.4,2020-05-16 01:07:03.406399
android,canary,84.0.4147.4,2020-05-15 23:37:03.902301
win64,canary,84.0.4147.4,2020-05-15 19:22:01.161051
win,canary,84.0.4147.4,2020-05-15 18:22:03.253882
mac,canary,84.0.4147.4,2020-05-15 18:22:02.074867
android,canary,84.0.4147.0,2020-05-15 14:37:02.919212
win,canary_asan,84.0.4147.1,2020-05-15 08:38:02.036314
win64,canary_asan,84.0.4147.1,2020-05-15 08:38:01.366585
mac,canary,84.0.4147.0,2020-05-15 07:53:01.197802
win,canary,84.0.4147.0,2020-05-15 06:23:01.951885
win64,canary,84.0.4147.0,2020-05-15 06:08:01.447356
win,canary,84.0.4146.4,2020-05-14 20:25:02.196293
win64,canary,84.0.4146.4,2020-05-14 20:10:01.762452
mac,canary,84.0.4146.4,2020-05-14 20:10:01.053854
webview,beta,83.0.4103.56,2020-05-14 13:28:34.971863
android,beta,83.0.4103.56,2020-05-14 13:27:02.340577
win,canary_asan,84.0.4146.1,2020-05-14 08:27:02.377629
win64,canary_asan,84.0.4146.1,2020-05-14 08:27:01.649598
win,canary,84.0.4146.0,2020-05-14 07:57:02.045671
win64,canary,84.0.4146.0,2020-05-14 07:42:01.486978
mac,canary,84.0.4146.0,2020-05-14 05:27:01.432465
cros,beta,83.0.4103.50,2020-05-13 23:58:07.241522
android,beta,84.0.4104.56,2020-05-13 22:42:02.389396
webview,beta,84.0.4104.56,2020-05-13 22:28:30.298383
ios,beta,83.0.4103.56,2020-05-13 22:12:04.676933
win,canary,84.0.4145.3,2020-05-13 21:57:01.713094
win64,canary,84.0.4145.3,2020-05-13 21:57:01.000133
mac,canary,84.0.4145.3,2020-05-13 21:42:01.500733
linux,beta,83.0.4103.56,2020-05-13 16:59:04.203204
win,beta,83.0.4103.56,2020-05-13 16:44:02.542535
win64,beta,83.0.4103.56,2020-05-13 16:44:01.825374
mac,beta,83.0.4103.56,2020-05-13 16:44:01.058357
android,canary,84.0.4145.0,2020-05-13 07:59:04.298492
ios,dev,84.0.4144.0,2020-05-12 21:59:03.796543
webview,dev,84.0.4142.0,2020-05-12 21:30:36.482543
android,dev,84.0.4142.0,2020-05-12 21:29:04.182347
mac,canary,84.0.4144.2,2020-05-12 20:29:01.129411
win,canary,84.0.4144.2,2020-05-12 20:14:02.796646
win64,canary,84.0.4144.2,2020-05-12 20:14:02.107241
linux,dev,84.0.4143.2,2020-05-12 17:31:04.786333
win,dev,84.0.4143.2,2020-05-12 17:31:02.989034
win64,dev,84.0.4143.2,2020-05-12 17:31:02.224240
mac,dev,84.0.4143.2,2020-05-12 17:31:01.272351
android,canary,84.0.4144.0,2020-05-12 11:49:03.824828
mac,canary,84.0.4143.7,2020-05-12 03:04:01.558667
win64,canary,84.0.4143.7,2020-05-12 02:49:01.352046
win,canary,84.0.4143.7,2020-05-12 02:34:02.210596
mac,canary,84.0.4143.5,2020-05-12 01:05:01.188225
win,canary,84.0.4143.5,2020-05-12 00:50:01.463465
win,canary_asan,84.0.4143.3,2020-05-12 00:06:02.648606
win64,canary_asan,84.0.4143.3,2020-05-12 00:06:02.077837
win64,canary,84.0.4143.2,2020-05-11 17:07:01.526024
win,canary,84.0.4143.2,2020-05-11 16:52:02.245384
mac,canary,84.0.4143.2,2020-05-11 16:52:01.265997
android,canary,84.0.4143.0,2020-05-11 08:39:02.532283
win,canary_asan,84.0.4143.1,2020-05-11 06:39:01.772883
win64,canary_asan,84.0.4143.1,2020-05-11 06:39:01.051142
win64,canary,84.0.4143.0,2020-05-11 04:39:01.308525
mac,canary,84.0.4143.0,2020-05-11 04:39:00.748531
win,canary,84.0.4143.0,2020-05-11 04:24:01.414628
android,canary,84.0.4142.0,2020-05-10 09:40:02.214269
win,canary_asan,84.0.4142.1,2020-05-10 06:40:02.521172
win64,canary_asan,84.0.4142.1,2020-05-10 06:40:01.572114
win64,canary,84.0.4142.0,2020-05-10 06:25:01.135592
win,canary,84.0.4142.0,2020-05-10 06:10:01.596554
mac,canary,84.0.4142.0,2020-05-10 05:25:01.025902
android,canary,84.0.4141.2,2020-05-09 17:41:03.954475
win,canary,84.0.4141.0,2020-05-09 06:41:01.307850
win64,canary,84.0.4141.0,2020-05-09 06:26:01.759086
mac,canary,84.0.4141.0,2020-05-09 05:11:00.799361
win,canary_asan,84.0.4140.1,2020-05-09 02:56:02.633065
win64,canary_asan,84.0.4140.1,2020-05-09 02:56:01.732118
android,canary,84.0.4140.0,2020-05-08 14:29:03.170491
win64,canary,84.0.4140.0,2020-05-08 12:44:01.305571
win,canary,84.0.4140.0,2020-05-08 12:14:01.565275
mac,canary,84.0.4140.0,2020-05-08 11:14:00.561422
win,canary_asan,84.0.4138.2,2020-05-08 08:29:01.688285
win64,canary_asan,84.0.4138.2,2020-05-08 08:29:01.011618
webview,dev,84.0.4137.0,2020-05-07 21:59:36.014719
android,dev,84.0.4137.0,2020-05-07 21:58:03.116856
cros,dev,84.0.4136.1,2020-05-07 19:14:33.419889
mac,dev,84.0.4136.5,2020-05-07 17:59:01.023961
linux,dev,84.0.4136.5,2020-05-07 17:44:03.716164
win,dev,84.0.4136.5,2020-05-07 17:44:01.548386
win64,dev,84.0.4136.5,2020-05-07 17:44:00.939837
android,canary,84.0.4138.0,2020-05-07 08:33:04.020964
win,canary_asan,84.0.4138.1,2020-05-07 08:33:02.621716
win64,canary_asan,84.0.4138.1,2020-05-07 08:33:01.815750
win,canary,84.0.4138.0,2020-05-07 07:48:01.352079
win64,canary,84.0.4138.0,2020-05-07 07:33:02.077178
mac,canary,84.0.4138.0,2020-05-07 06:03:00.938379
webview,beta,83.0.4103.44,2020-05-06 22:35:35.331717
android,beta,83.0.4103.44,2020-05-06 22:34:02.723576
win,canary,84.0.4137.3,2020-05-06 22:34:01.344966
win64,canary,84.0.4137.3,2020-05-06 22:04:01.376896
win,canary,84.0.4137.2,2020-05-06 21:49:02.088548
win,canary_asan,84.0.4137.1,2020-05-06 21:34:02.797225
win64,canary,84.0.4137.2,2020-05-06 21:34:01.977180
mac,canary,84.0.4137.2,2020-05-06 21:34:01.303191
linux,beta,83.0.4103.44,2020-05-06 19:51:03.542069
ios,beta,83.0.4103.44,2020-05-06 19:36:08.924629
